MasterNLC,MasterASC,UniqueStationName,Easting,Northing,Latitude,Longitude
5694,EARr,Earley,475336,171890,51.441,-0.917
5234,EFLr,East Farleigh,573423,153600,51.255,0.484
5486,EGRr,East Grinstead,538788,138188,51.126,-0.018
5134,EMLr,East Malling,570243,156891,51.286,0.44
7471,ETLr,East Tilbury,567620,178921,51.484,0.413
1544,EBFr,Ebbsfleet International,561350,174150,51.443,0.32
5473,EBRr,Edenbridge,544048,147490,51.208,0.061
5359,EBTr,Edenbridge Town,544524,146588,51.2,0.067
5642,EFFr,Effingham Junction,510103,155621,51.289,-0.422
5669,EGHr,Egham,501176,171065,51.43,-0.546
6832,ESMr,Elsenham,553372,226992,51.92,0.229
5459,ERIr,Eridge,554213,134544,51.089,0.201
5558,ESHr,Esher,514657,165837,51.38,-0.354
5065,EYNr,Eynsford,553543,164839,51.362,0.204
5521,FNBr,Farnborough (Main),486832,156033,51.297,-0.756
5688,FNNr,Farnborough North,487718,156680,51.302,-0.743
5545,FNHr,Farnham,484434,146525,51.212,-0.793
5105,FNRr,Farningham Road,555652,169326,51.402,0.236
1377,FENr,Fenny Stratford,488170,234284,52,-0.717
1532,FLTr,Flitwick,503435,234943,52.003,-0.495
7029,FXNr,Foxton,540917,248770,52.119,0.057
5683,FMLr,Frimley,487426,157704,51.312,-0.747
1559,GSNr,Garston,511969,199900,51.687,-0.382
5169,GLMr,Gillingham (Kent),577588,168393,51.387,0.551
5474,GDNr,Godstone,536204,148353,51.218,-0.051
5298,GOMr,Gomshall,508840,147808,51.219,-0.443
5172,GRVr,Gravesend,564547,174024,51.441,0.366
7032,GRCr,Great Chesterford,550475,242420,52.06,0.193
1463,GMNr,Great Missenden,489306,201271,51.703,-0.709
5138,GNHr,Greenhithe,558497,174857,51.451,0.28
5631,GLDr,Guildford,499121,149703,51.238,-0.582
5173,HAIr,Halling,570358,164298,51.352,0.445
1533,HLNr,Harlington,503480,230286,51.961,-0.495
6804,HWMr,Harlow Mill,547148,212346,51.79,0.132
6827,HWNr,Harlow Town,544657,211272,51.781,0.096
5489,HSKr,Hassocks,530422,115547,50.925,-0.146
6845,HAPr,Hatfield Peverel,578927,212235,51.78,0.592
5490,HHEr,Haywards Heath,533037,124566,51.005,-0.105
1391,HMLr,Hemel Hempstead,504306,205905,51.742,-0.491
5590,HERr,Hersham,512233,165448,51.377,-0.389
5417,HEVr,Hever,546504,144550,51.181,0.095
5235,HIBr,High Brooms,559385,141354,51.149,0.277
5202,HGMr,Higham,571560,172628,51.427,0.466
5236,HLBr,Hildenborough,555688,148515,51.215,0.228
5591,HYWr,Hinchley Wood,515593,165311,51.375,-0.341
6086,HITr,Hitchin,519471,229712,51.953,-0.263
6880,HOCr,Hockley,584192,192787,51.604,0.658
5562,HSYr,Horsley,509247,154566,51.28,-0.435
5273,HOVr,Hove,528880,105586,50.835,-0.171
1563,HWWr,How Wood,514431,203363,51.717,-0.345
5463,HURr,Hurst Green,539968,151395,51.245,0.004
6882,INTr,Ingatestone,564995,199169,51.667,0.384
1384,KMHr,Kempston Hardwick,502592,244800,52.092,-0.504
5678,KMPr,Kempton Park,510716,170327,51.421,-0.409
5079,KMSr,Kemsing,556765,157746,51.297,0.247
1392,KGLr,King's Langley,508035,201989,51.706,-0.438
